Gaze Tracking Log with System Metrics
==================================================
Session: 20251120_185918
Start Time: 2025-11-20T18:59:18.510739
==================================================

Time: 2025-11-20T18:59:21.013655Z | Gaze: (616, 463) | Conf: 0.688 | CPU: 9.8% | RAM: 7610.97MB | Mem%: 97.2%
Time: 2025-11-20T18:59:21.052230Z | Gaze: (592, 506) | Conf: 0.688 | CPU: 5.6% | RAM: 7610.55MB | Mem%: 97.2%
Time: 2025-11-20T18:59:21.081182Z | Gaze: (597, 529) | Conf: 0.602 | CPU: 4.8% | RAM: 7610.55MB | Mem%: 97.2%
Time: 2025-11-20T18:59:21.108689Z | Gaze: (589, 563) | Conf: 0.588 | CPU: 5.9% | RAM: 7610.5MB | Mem%: 97.2%
Time: 2025-11-20T18:59:21.140875Z | Gaze: (602, 568) | Conf: 0.550 | CPU: 10.7% | RAM: 7614.46MB | Mem%: 97.2%
Time: 2025-11-20T18:59:21.167870Z | Gaze: (615, 539) | Conf: 0.529 | CPU: 4.8% | RAM: 7614.98MB | Mem%: 97.3%
Time: 2025-11-20T18:59:21.195456Z | Gaze: (635, 515) | Conf: 0.517 | CPU: 4.8% | RAM: 7614.98MB | Mem%: 97.3%
Time: 2025-11-20T18:59:21.220861Z | Gaze: (636, 485) | Conf: 0.453 | CPU: 4.2% | RAM: 7615.0MB | Mem%: 97.3%
Time: 2025-11-20T18:59:21.249865Z | Gaze: (626, 489) | Conf: 0.520 | CPU: 6.2% | RAM: 7614.89MB | Mem%: 97.3%
Time: 2025-11-20T18:59:21.278881Z | Gaze: (620, 493) | Conf: 0.453 | CPU: 10.0% | RAM: 7614.82MB | Mem%: 97.3%
Time: 2025-11-20T18:59:21.303736Z | Gaze: (634, 503) | Conf: 0.574 | CPU: 8.7% | RAM: 7616.59MB | Mem%: 97.3%
Time: 2025-11-20T18:59:21.332748Z | Gaze: (648, 494) | Conf: 0.643 | CPU: 16.0% | RAM: 7616.6MB | Mem%: 97.3%
Time: 2025-11-20T18:59:21.358749Z | Gaze: (658, 485) | Conf: 0.600 | CPU: 26.7% | RAM: 7616.6MB | Mem%: 97.3%
Time: 2025-11-20T18:59:21.387275Z | Gaze: (664, 481) | Conf: 0.652 | CPU: 9.1% | RAM: 7616.61MB | Mem%: 97.3%
Time: 2025-11-20T18:59:21.420282Z | Gaze: (671, 491) | Conf: 0.710 | CPU: 12.5% | RAM: 7621.07MB | Mem%: 97.3%
Time: 2025-11-20T18:59:21.451448Z | Gaze: (675, 489) | Conf: 0.680 | CPU: 13.6% | RAM: 7621.25MB | Mem%: 97.3%
Time: 2025-11-20T18:59:21.484455Z | Gaze: (661, 483) | Conf: 0.670 | CPU: 21.7% | RAM: 7619.26MB | Mem%: 97.3%
