Gaze Tracking Log with System Metrics
==================================================
Session: 20251209_180354
Start Time: 2025-12-09T18:03:54.333703
==================================================

Time: 2025-12-09T18:04:12.198993Z | Gaze: (749, 273) | Conf: 1.000 | CPU: 5.6% | RAM: 11687.3MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.235177Z | Gaze: (740, 275) | Conf: 1.000 | CPU: 5.9% | RAM: 11688.13MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.296523Z | Gaze: (718, 269) | Conf: 1.000 | CPU: 9.4% | RAM: 11690.43MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.328950Z | Gaze: (692, 265) | Conf: 1.000 | CPU: 37.5% | RAM: 11685.55MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.359650Z | Gaze: (674, 261) | Conf: 1.000 | CPU: 6.2% | RAM: 11689.37MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.379881Z | Gaze: (667, 263) | Conf: 1.000 | CPU: 0.0% | RAM: 11686.55MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.416619Z | Gaze: (669, 256) | Conf: 1.000 | CPU: 24.0% | RAM: 11691.02MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.435893Z | Gaze: (682, 249) | Conf: 1.000 | CPU: 12.5% | RAM: 11684.71MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.456716Z | Gaze: (703, 233) | Conf: 1.000 | CPU: 0.0% | RAM: 11689.86MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.503090Z | Gaze: (737, 234) | Conf: 1.000 | CPU: 37.5% | RAM: 11685.44MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.536624Z | Gaze: (761, 228) | Conf: 1.000 | CPU: 18.8% | RAM: 11688.8MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.568992Z | Gaze: (780, 235) | Conf: 1.000 | CPU: 25.0% | RAM: 11686.24MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.601684Z | Gaze: (780, 235) | Conf: 1.000 | CPU: 25.0% | RAM: 11688.06MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.631513Z | Gaze: (778, 240) | Conf: 1.000 | CPU: 6.2% | RAM: 11683.86MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.696376Z | Gaze: (779, 246) | Conf: 1.000 | CPU: 6.1% | RAM: 11687.95MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.729930Z | Gaze: (778, 254) | Conf: 1.000 | CPU: 10.0% | RAM: 11683.84MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.763839Z | Gaze: (774, 265) | Conf: 1.000 | CPU: 15.8% | RAM: 11687.35MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.789456Z | Gaze: (765, 273) | Conf: 1.000 | CPU: 50.0% | RAM: 11686.85MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.819713Z | Gaze: (764, 283) | Conf: 1.000 | CPU: 29.4% | RAM: 11687.51MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.839487Z | Gaze: (770, 284) | Conf: 1.000 | CPU: 21.4% | RAM: 11686.1MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.866195Z | Gaze: (773, 279) | Conf: 1.000 | CPU: 0.0% | RAM: 11687.59MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.903895Z | Gaze: (778, 277) | Conf: 1.000 | CPU: 8.3% | RAM: 11685.46MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.938334Z | Gaze: (782, 271) | Conf: 1.000 | CPU: 52.9% | RAM: 11685.97MB | Mem%: 73.0%
Time: 2025-12-09T18:04:12.969713Z | Gaze: (788, 271) | Conf: 1.000 | CPU: 50.0% | RAM: 11685.42MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.001204Z | Gaze: (785, 271) | Conf: 1.000 | CPU: 0.0% | RAM: 11685.21MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.031972Z | Gaze: (784, 275) | Conf: 1.000 | CPU: 18.8% | RAM: 11683.27MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.098655Z | Gaze: (784, 276) | Conf: 1.000 | CPU: 27.3% | RAM: 11681.89MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.128544Z | Gaze: (787, 269) | Conf: 1.000 | CPU: 6.2% | RAM: 11681.33MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.160507Z | Gaze: (782, 265) | Conf: 1.000 | CPU: 50.0% | RAM: 11680.13MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.181437Z | Gaze: (777, 264) | Conf: 1.000 | CPU: 12.5% | RAM: 11679.15MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.202327Z | Gaze: (773, 266) | Conf: 1.000 | CPU: 12.5% | RAM: 11678.28MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.223910Z | Gaze: (777, 263) | Conf: 1.000 | CPU: 0.0% | RAM: 11677.17MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.260858Z | Gaze: (789, 263) | Conf: 1.000 | CPU: 12.5% | RAM: 11675.7MB | Mem%: 72.9%
Time: 2025-12-09T18:04:13.305247Z | Gaze: (800, 255) | Conf: 1.000 | CPU: 37.5% | RAM: 11675.12MB | Mem%: 72.9%
Time: 2025-12-09T18:04:13.335166Z | Gaze: (799, 255) | Conf: 1.000 | CPU: 12.5% | RAM: 11682.82MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.366152Z | Gaze: (798, 250) | Conf: 1.000 | CPU: 25.0% | RAM: 11687.13MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.402017Z | Gaze: (799, 251) | Conf: 1.000 | CPU: 8.3% | RAM: 11687.93MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.436608Z | Gaze: (803, 250) | Conf: 1.000 | CPU: 18.8% | RAM: 11684.55MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.497112Z | Gaze: (803, 254) | Conf: 1.000 | CPU: 3.1% | RAM: 11690.67MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.527596Z | Gaze: (797, 256) | Conf: 1.000 | CPU: 18.8% | RAM: 11685.65MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.561497Z | Gaze: (795, 255) | Conf: 1.000 | CPU: 43.8% | RAM: 11690.07MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.582371Z | Gaze: (792, 250) | Conf: 1.000 | CPU: 0.0% | RAM: 11684.65MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.601626Z | Gaze: (795, 247) | Conf: 1.000 | CPU: 12.5% | RAM: 11686.09MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.625387Z | Gaze: (796, 254) | Conf: 1.000 | CPU: 12.5% | RAM: 11679.95MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.673948Z | Gaze: (793, 266) | Conf: 1.000 | CPU: 0.0% | RAM: 11685.82MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.709136Z | Gaze: (790, 272) | Conf: 1.000 | CPU: 0.0% | RAM: 11681.01MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.742106Z | Gaze: (787, 270) | Conf: 1.000 | CPU: 6.2% | RAM: 11685.24MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.772860Z | Gaze: (782, 266) | Conf: 1.000 | CPU: 12.5% | RAM: 11688.96MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.799621Z | Gaze: (774, 268) | Conf: 1.000 | CPU: 18.8% | RAM: 11687.39MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.831831Z | Gaze: (767, 265) | Conf: 1.000 | CPU: 29.4% | RAM: 11688.22MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.895741Z | Gaze: (767, 259) | Conf: 1.000 | CPU: 25.0% | RAM: 11688.12MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.931702Z | Gaze: (773, 257) | Conf: 1.000 | CPU: 16.7% | RAM: 11689.2MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.950646Z | Gaze: (780, 261) | Conf: 1.000 | CPU: 7.1% | RAM: 11686.18MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.967832Z | Gaze: (791, 261) | Conf: 1.000 | CPU: 100.0% | RAM: 11688.27MB | Mem%: 73.0%
Time: 2025-12-09T18:04:13.993449Z | Gaze: (798, 263) | Conf: 1.000 | CPU: 10.0% | RAM: 11686.84MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.024937Z | Gaze: (800, 256) | Conf: 1.000 | CPU: 12.5% | RAM: 11687.36MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.073068Z | Gaze: (798, 262) | Conf: 1.000 | CPU: 10.0% | RAM: 11687.61MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.106980Z | Gaze: (796, 256) | Conf: 1.000 | CPU: 12.5% | RAM: 11688.34MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.136261Z | Gaze: (793, 260) | Conf: 1.000 | CPU: 6.7% | RAM: 11686.77MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.167273Z | Gaze: (787, 263) | Conf: 1.000 | CPU: 16.7% | RAM: 11687.21MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.200772Z | Gaze: (782, 268) | Conf: 1.000 | CPU: 6.2% | RAM: 11686.87MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.267747Z | Gaze: (787, 268) | Conf: 1.000 | CPU: 0.0% | RAM: 11687.72MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.297292Z | Gaze: (797, 260) | Conf: 1.000 | CPU: 62.5% | RAM: 11685.27MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.328598Z | Gaze: (820, 246) | Conf: 1.000 | CPU: 56.2% | RAM: 11686.75MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.348719Z | Gaze: (844, 229) | Conf: 1.000 | CPU: 0.0% | RAM: 11684.98MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.367042Z | Gaze: (830, 210) | Conf: 0.744 | CPU: 25.0% | RAM: 11685.26MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.392954Z | Gaze: (784, 189) | Conf: 0.833 | CPU: 6.2% | RAM: 11684.33MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.427683Z | Gaze: (742, 165) | Conf: 0.838 | CPU: 12.5% | RAM: 11683.75MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.472605Z | Gaze: (728, 156) | Conf: 1.000 | CPU: 4.2% | RAM: 11681.54MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.504151Z | Gaze: (718, 167) | Conf: 1.000 | CPU: 6.2% | RAM: 11681.49MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.533912Z | Gaze: (694, 186) | Conf: 1.000 | CPU: 12.5% | RAM: 11680.24MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.569660Z | Gaze: (675, 203) | Conf: 1.000 | CPU: 55.6% | RAM: 11679.19MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.605373Z | Gaze: (666, 210) | Conf: 1.000 | CPU: 20.0% | RAM: 11681.48MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.631303Z | Gaze: (659, 222) | Conf: 1.000 | CPU: 8.3% | RAM: 11686.28MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.695188Z | Gaze: (657, 226) | Conf: 1.000 | CPU: 6.2% | RAM: 11687.07MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.728367Z | Gaze: (655, 237) | Conf: 1.000 | CPU: 11.8% | RAM: 11686.79MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.755054Z | Gaze: (652, 244) | Conf: 1.000 | CPU: 6.7% | RAM: 11684.57MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.783942Z | Gaze: (650, 249) | Conf: 1.000 | CPU: 18.8% | RAM: 11688.29MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.802958Z | Gaze: (651, 247) | Conf: 1.000 | CPU: 100.0% | RAM: 11681.42MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.825182Z | Gaze: (657, 244) | Conf: 1.000 | CPU: 18.8% | RAM: 11685.97MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.871989Z | Gaze: (661, 244) | Conf: 1.000 | CPU: 12.0% | RAM: 11682.36MB | Mem%: 73.0%
