timestamp,gaze_x,gaze_y,confidence,cpu_percent,memory_used_mb,memory_percent
2025-11-21T15:30:47.641866Z,610,415,0.733,5.6,7205.57,92.0
2025-11-21T15:30:47.685092Z,612,419,0.74,23.1,7215.05,92.1
2025-11-21T15:30:47.712170Z,636,386,0.783,12.5,7226.86,92.3
2025-11-21T15:30:47.738163Z,678,317,0.86,0.0,7225.59,92.3
2025-11-21T15:30:47.760332Z,715,233,0.84,0.0,7236.12,92.4
2025-11-21T15:30:47.788412Z,732,179,0.83,4.2,7232.61,92.4
2025-11-21T15:30:47.817332Z,737,156,0.821,0.0,7239.68,92.5
2025-11-21T15:30:47.846277Z,747,141,0.783,4.2,7236.34,92.4
2025-11-21T15:30:47.877230Z,754,129,0.812,0.0,7240.7,92.5
2025-11-21T15:30:47.907298Z,754,125,0.85,8.0,7246.12,92.5
2025-11-21T15:30:47.928259Z,761,127,0.83,15.4,7244.64,92.5
2025-11-21T15:30:47.954403Z,777,142,0.86,0.0,7242.54,92.5
2025-11-21T15:30:47.980919Z,794,149,0.89,5.9,7249.6,92.6
2025-11-21T15:30:48.011389Z,800,152,0.86,9.1,7245.74,92.5
2025-11-21T15:30:48.037328Z,804,139,0.87,12.5,7242.82,92.5
2025-11-21T15:30:48.062871Z,798,127,0.879,4.5,7242.01,92.5
2025-11-21T15:30:48.087572Z,783,124,0.943,0.0,7254.98,92.7
2025-11-21T15:30:48.119383Z,760,132,0.89,0.0,7251.43,92.6
2025-11-21T15:30:48.148960Z,755,143,0.84,8.3,7253.16,92.6
2025-11-21T15:30:48.179374Z,753,157,0.89,12.0,7258.72,92.7
2025-11-21T15:30:48.217946Z,758,170,0.932,6.1,7253.33,92.6
2025-11-21T15:30:48.244213Z,747,176,0.901,0.0,7260.84,92.7
2025-11-21T15:30:48.275484Z,729,182,0.89,4.2,7255.67,92.7
2025-11-21T15:30:48.307846Z,691,190,0.86,0.0,7267.63,92.8
2025-11-21T15:30:48.339623Z,646,206,0.912,0.0,7263.56,92.8
2025-11-21T15:30:48.385490Z,598,219,0.85,5.7,7274.82,92.9
2025-11-21T15:30:48.419332Z,575,232,0.87,0.0,7270.34,92.9
2025-11-21T15:30:48.449881Z,553,233,0.89,0.0,7266.51,92.8
2025-11-21T15:30:48.482567Z,559,241,0.88,0.0,7278.94,93.0
2025-11-21T15:30:48.514253Z,559,240,0.901,0.0,7275.05,92.9
2025-11-21T15:30:48.546194Z,559,259,0.9,0.0,7270.8,92.9
2025-11-21T15:30:48.578960Z,552,263,0.85,4.2,7269.26,92.8
2025-11-21T15:30:48.610388Z,544,269,0.901,0.0,7279.82,93.0
2025-11-21T15:30:48.643167Z,543,266,0.932,0.0,7276.05,92.9
2025-11-21T15:30:48.674120Z,545,256,0.967,0.0,7274.0,92.9
2025-11-21T15:30:48.720525Z,551,252,0.92,0.0,7285.23,93.0
2025-11-21T15:30:48.753951Z,566,243,0.943,4.0,7282.6,93.0
2025-11-21T15:30:48.792150Z,578,247,0.901,0.0,7293.93,93.2
2025-11-21T15:30:48.823731Z,597,253,0.933,8.3,7299.69,93.2
2025-11-21T15:30:48.853175Z,623,265,0.901,4.2,7306.32,93.3
2025-11-21T15:30:48.885430Z,653,270,0.955,4.2,7308.94,93.3
2025-11-21T15:30:48.916433Z,672,277,0.912,0.0,7310.59,93.4
2025-11-21T15:30:48.947814Z,677,271,0.922,0.0,7316.62,93.4
2025-11-21T15:30:48.980286Z,680,267,0.967,3.3,7315.1,93.4
2025-11-21T15:30:49.011567Z,685,259,0.943,9.5,7327.1,93.6
2025-11-21T15:30:49.043954Z,686,265,0.922,7.7,7322.92,93.5
2025-11-21T15:30:49.088753Z,682,275,0.912,0.0,7326.27,93.6
2025-11-21T15:30:49.121545Z,674,284,0.911,0.0,7323.16,93.5
2025-11-21T15:30:49.153366Z,670,272,0.933,9.1,7333.38,93.7
2025-11-21T15:30:49.183101Z,666,260,0.988,3.8,7329.5,93.6
2025-11-21T15:30:49.218359Z,663,252,0.966,3.8,7326.17,93.6
2025-11-21T15:30:49.248527Z,657,256,0.966,4.2,7339.48,93.7
2025-11-21T15:30:49.282755Z,659,259,0.967,3.6,7337.62,93.7
2025-11-21T15:30:49.314700Z,663,254,0.9,0.0,7333.11,93.7
2025-11-21T15:30:49.347432Z,671,253,0.967,0.0,7342.33,93.8
2025-11-21T15:30:49.378100Z,673,257,0.91,4.2,7340.05,93.7
2025-11-21T15:30:49.410124Z,674,271,0.988,0.0,7336.2,93.7
2025-11-21T15:30:49.457600Z,676,278,0.912,2.8,7344.25,93.8
2025-11-21T15:30:49.492613Z,672,268,0.899,0.0,7340.11,93.7
2025-11-21T15:30:49.521909Z,670,273,0.61,4.2,7351.95,93.9
2025-11-21T15:30:49.556920Z,671,283,0.539,0.0,7349.12,93.9
2025-11-21T15:30:49.585990Z,703,302,0.38,0.0,7344.52,93.8
2025-11-21T15:30:49.615945Z,678,284,0.338,0.0,7352.39,93.9
2025-11-21T15:30:49.650297Z,666,302,0.532,3.1,7353.27,93.9
2025-11-21T15:30:49.680839Z,655,291,0.706,0.0,7353.41,93.9
2025-11-21T15:30:49.715563Z,635,286,0.77,9.1,7359.18,94.0
2025-11-21T15:30:49.744957Z,608,280,0.79,10.0,7360.95,94.0
2025-11-21T15:30:49.795254Z,585,289,0.749,2.4,7367.03,94.1
2025-11-21T15:30:49.826654Z,559,298,0.78,4.0,7365.24,94.1
2025-11-21T15:30:49.857737Z,549,304,0.737,0.0,7361.25,94.0
2025-11-21T15:30:49.890966Z,546,309,0.818,4.3,7365.69,94.1
2025-11-21T15:30:49.926011Z,551,309,0.794,0.0,7369.25,94.1
2025-11-21T15:30:49.959003Z,557,315,0.772,0.0,7368.5,94.1
