timestamp,gaze_x,gaze_y,confidence,cpu_percent,memory_used_mb,memory_percent
2025-11-20T18:59:23.615953Z,567,392,0.782,12.0,7580.66,96.8
2025-11-20T18:59:23.646019Z,547,381,0.74,0.0,7580.68,96.8
2025-11-20T18:59:23.674004Z,542,391,0.81,22.7,7580.75,96.8
2025-11-20T18:59:23.702284Z,543,420,0.787,13.0,7583.97,96.9
2025-11-20T18:59:23.727270Z,553,428,0.853,12.5,7583.97,96.9
2025-11-20T18:59:23.757335Z,560,430,0.848,8.3,7583.99,96.9
2025-11-20T18:59:23.786294Z,572,426,0.89,12.5,7584.07,96.9
2025-11-20T18:59:23.817865Z,589,416,0.868,25.0,7583.97,96.9
2025-11-20T18:59:23.875827Z,590,414,0.904,4.4,7583.95,96.9
2025-11-20T18:59:23.908394Z,581,405,0.85,0.0,7584.01,96.9
2025-11-20T18:59:23.944403Z,574,390,0.875,7.7,7584.02,96.9
2025-11-20T18:59:23.978498Z,577,375,0.87,12.0,7583.73,96.9
2025-11-20T18:59:24.007490Z,579,379,0.9,12.0,7583.73,96.9
2025-11-20T18:59:24.040822Z,563,403,0.851,4.2,7583.86,96.9
2025-11-20T18:59:24.069890Z,553,421,0.883,4.3,7583.86,96.9
2025-11-20T18:59:24.102449Z,538,442,0.865,8.0,7583.87,96.9
2025-11-20T18:59:24.135441Z,531,447,0.955,12.5,7583.92,96.9
2025-11-20T18:59:24.164511Z,521,447,0.883,4.3,7583.93,96.9
2025-11-20T18:59:24.196877Z,525,434,0.843,4.0,7583.92,96.9
2025-11-20T18:59:24.226860Z,539,427,0.881,0.0,7583.89,96.9
2025-11-20T18:59:24.279058Z,558,424,0.781,7.0,7583.91,96.9
2025-11-20T18:59:24.311649Z,582,418,0.823,4.8,7592.43,97.0
2025-11-20T18:59:24.344728Z,596,422,0.779,6.7,7592.42,97.0
2025-11-20T18:59:24.383650Z,584,434,0.855,7.7,7592.05,97.0
2025-11-20T18:59:24.420392Z,564,444,0.732,8.6,7589.68,96.9
2025-11-20T18:59:24.450298Z,562,450,0.701,16.7,7581.88,96.8
2025-11-20T18:59:24.481257Z,571,443,0.72,25.0,7582.04,96.8
2025-11-20T18:59:24.510560Z,579,430,0.681,20.8,7582.12,96.8
2025-11-20T18:59:24.538766Z,566,423,0.681,4.2,7583.31,96.8
2025-11-20T18:59:24.569121Z,581,424,0.593,8.3,7582.47,96.8
2025-11-20T18:59:24.609165Z,596,427,0.711,18.2,7594.44,97.0
2025-11-20T18:59:24.642167Z,609,422,0.658,11.5,7599.71,97.1
2025-11-20T18:59:24.671416Z,602,418,0.77,10.0,7599.44,97.1
2025-11-20T18:59:24.694930Z,593,425,0.677,11.8,7599.44,97.1
2025-11-20T18:59:24.722929Z,583,424,0.642,8.3,7599.45,97.1
2025-11-20T18:59:24.761299Z,574,421,0.637,16.0,7599.5,97.1
2025-11-20T18:59:24.791134Z,570,412,0.647,12.5,7599.47,97.1
2025-11-20T18:59:24.842551Z,566,417,0.689,14.3,7601.05,97.1
2025-11-20T18:59:24.878784Z,570,422,0.592,3.4,7600.65,97.1
2025-11-20T18:59:24.907420Z,571,421,0.576,14.3,7600.92,97.1
2025-11-20T18:59:24.936409Z,575,411,0.589,5.6,7606.68,97.1
2025-11-20T18:59:24.963335Z,572,396,0.562,4.8,7606.51,97.1
2025-11-20T18:59:24.995053Z,565,391,0.712,8.0,7606.51,97.1
2025-11-20T18:59:25.024117Z,566,394,0.6,0.0,7606.51,97.1
2025-11-20T18:59:25.066080Z,576,398,0.621,5.6,7606.43,97.1
2025-11-20T18:59:25.095830Z,601,390,0.583,0.0,7606.36,97.1
2025-11-20T18:59:25.123819Z,611,380,0.682,10.5,7606.35,97.1
2025-11-20T18:59:25.158818Z,615,380,0.668,8.0,7606.35,97.1
2025-11-20T18:59:25.196337Z,605,400,0.669,6.2,7606.35,97.1
2025-11-20T18:59:25.221403Z,605,401,0.629,5.6,7606.35,97.1
2025-11-20T18:59:25.258368Z,609,393,0.629,10.3,7606.32,97.1
2025-11-20T18:59:25.282276Z,624,379,0.629,12.5,7606.32,97.1
2025-11-20T18:59:25.317272Z,640,375,0.612,9.1,7574.36,96.7
2025-11-20T18:59:25.359275Z,649,366,0.61,10.3,7575.84,96.8
2025-11-20T18:59:25.387382Z,652,350,0.509,5.3,7575.84,96.8
2025-11-20T18:59:25.432842Z,660,341,0.612,11.1,7575.88,96.8
2025-11-20T18:59:25.465856Z,669,345,0.573,3.6,7575.88,96.8
2025-11-20T18:59:25.498451Z,676,357,0.637,16.0,7575.88,96.8
2025-11-20T18:59:25.521549Z,681,361,0.532,5.0,7575.89,96.8
2025-11-20T18:59:25.556026Z,677,359,0.553,13.0,7575.88,96.8
2025-11-20T18:59:25.587971Z,671,350,0.612,8.3,7575.88,96.8
2025-11-20T18:59:25.620585Z,652,350,0.621,15.4,7575.88,96.8
2025-11-20T18:59:25.652589Z,639,351,0.642,6.9,7575.88,96.8
2025-11-20T18:59:25.686834Z,638,351,0.485,3.8,7575.88,96.8
2025-11-20T18:59:25.718450Z,644,345,0.583,13.0,7575.88,96.8
2025-11-20T18:59:25.747687Z,647,354,0.655,15.0,7575.88,96.8
2025-11-20T18:59:25.798477Z,631,362,0.583,9.8,7575.85,96.8
2025-11-20T18:59:25.826548Z,636,370,0.568,0.0,7575.85,96.8
2025-11-20T18:59:25.860763Z,659,379,0.658,8.7,7575.85,96.8
2025-11-20T18:59:25.894043Z,697,394,0.62,7.1,7575.85,96.8
2025-11-20T18:59:25.923438Z,715,411,0.73,0.0,7565.0,96.6
2025-11-20T18:59:25.956472Z,714,417,0.688,16.0,7563.65,96.6
2025-11-20T18:59:25.990373Z,720,432,0.68,26.9,7553.04,96.5
2025-11-20T18:59:27.832237Z,721,433,0.71,6.8,7529.28,96.2
2025-11-20T18:59:27.857371Z,715,415,1.0,13.3,7530.73,96.2
2025-11-20T18:59:27.891581Z,689,372,1.0,3.1,7530.73,96.2
2025-11-20T18:59:27.944179Z,664,323,1.0,13.2,7530.73,96.2
2025-11-20T18:59:27.972182Z,648,286,1.0,8.7,7530.73,96.2
2025-11-20T18:59:28.005892Z,635,267,1.0,12.5,7530.71,96.2
2025-11-20T18:59:28.033889Z,631,266,1.0,13.0,7530.71,96.2
2025-11-20T18:59:28.066982Z,629,270,1.0,0.0,7529.51,96.2
2025-11-20T18:59:28.096148Z,628,262,1.0,0.0,7525.18,96.1
2025-11-20T18:59:28.132233Z,620,252,1.0,15.4,7519.97,96.0
