Gaze Tracking Log with System Metrics
==================================================
Session: 20251128_174149
Start Time: 2025-11-28T17:41:49.562011
==================================================

Time: 2025-11-28T17:41:49.932473Z | Gaze: (644, 360) | Conf: 0.587 | CPU: 22.6% | RAM: 13675.25MB | Mem%: 85.4%
Time: 2025-11-28T17:41:50.047493Z | Gaze: (644, 361) | Conf: 0.788 | CPU: 64.9% | RAM: 13717.76MB | Mem%: 85.7%
Time: 2025-11-28T17:41:50.076586Z | Gaze: (645, 359) | Conf: 0.750 | CPU: 37.5% | RAM: 13723.82MB | Mem%: 85.7%
Time: 2025-11-28T17:41:50.109765Z | Gaze: (645, 356) | Conf: 0.809 | CPU: 37.5% | RAM: 13725.81MB | Mem%: 85.8%
Time: 2025-11-28T17:41:50.143646Z | Gaze: (645, 349) | Conf: 0.808 | CPU: 37.5% | RAM: 13730.0MB | Mem%: 85.8%
Time: 2025-11-28T17:41:50.181424Z | Gaze: (645, 342) | Conf: 0.920 | CPU: 87.5% | RAM: 13729.84MB | Mem%: 85.8%
Time: 2025-11-28T17:41:50.209868Z | Gaze: (644, 334) | Conf: 0.980 | CPU: 50.0% | RAM: 13729.83MB | Mem%: 85.8%
Time: 2025-11-28T17:41:50.245719Z | Gaze: (645, 327) | Conf: 0.949 | CPU: 50.0% | RAM: 13732.53MB | Mem%: 85.8%
Time: 2025-11-28T17:41:50.278302Z | Gaze: (644, 320) | Conf: 0.980 | CPU: 43.8% | RAM: 13734.43MB | Mem%: 85.8%
Time: 2025-11-28T17:41:50.320887Z | Gaze: (643, 313) | Conf: 0.995 | CPU: 41.2% | RAM: 13738.72MB | Mem%: 85.8%
Time: 2025-11-28T17:41:50.349667Z | Gaze: (642, 307) | Conf: 1.000 | CPU: 76.5% | RAM: 13742.3MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.383774Z | Gaze: (640, 303) | Conf: 1.000 | CPU: 81.2% | RAM: 13746.35MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.413976Z | Gaze: (639, 300) | Conf: 1.000 | CPU: 75.0% | RAM: 13744.91MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.455196Z | Gaze: (638, 299) | Conf: 1.000 | CPU: 69.2% | RAM: 13741.27MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.480636Z | Gaze: (637, 297) | Conf: 1.000 | CPU: 50.0% | RAM: 13745.09MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.506433Z | Gaze: (637, 295) | Conf: 1.000 | CPU: 0.0% | RAM: 13744.71MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.530964Z | Gaze: (641, 292) | Conf: 1.000 | CPU: 25.0% | RAM: 13744.66MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.558903Z | Gaze: (646, 292) | Conf: 1.000 | CPU: 35.7% | RAM: 13744.65MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.585856Z | Gaze: (653, 291) | Conf: 1.000 | CPU: 80.0% | RAM: 13744.62MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.611518Z | Gaze: (660, 292) | Conf: 1.000 | CPU: 64.7% | RAM: 13743.84MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.642461Z | Gaze: (666, 292) | Conf: 1.000 | CPU: 37.5% | RAM: 13743.72MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.675450Z | Gaze: (667, 293) | Conf: 1.000 | CPU: 100.0% | RAM: 13743.64MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.709055Z | Gaze: (665, 294) | Conf: 1.000 | CPU: 56.2% | RAM: 13743.23MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.739950Z | Gaze: (661, 293) | Conf: 1.000 | CPU: 56.2% | RAM: 13743.12MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.785183Z | Gaze: (658, 294) | Conf: 1.000 | CPU: 54.2% | RAM: 13744.28MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.822936Z | Gaze: (655, 294) | Conf: 1.000 | CPU: 72.2% | RAM: 13744.54MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.858215Z | Gaze: (653, 295) | Conf: 1.000 | CPU: 30.4% | RAM: 13748.29MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.897158Z | Gaze: (651, 296) | Conf: 1.000 | CPU: 72.2% | RAM: 13753.08MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.931199Z | Gaze: (649, 295) | Conf: 1.000 | CPU: 76.5% | RAM: 13750.81MB | Mem%: 85.9%
Time: 2025-11-28T17:41:50.966915Z | Gaze: (650, 295) | Conf: 1.000 | CPU: 54.2% | RAM: 13750.4MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.002446Z | Gaze: (655, 294) | Conf: 1.000 | CPU: 56.2% | RAM: 13750.28MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.033480Z | Gaze: (666, 293) | Conf: 1.000 | CPU: 56.2% | RAM: 13750.12MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.065445Z | Gaze: (677, 292) | Conf: 1.000 | CPU: 56.2% | RAM: 13742.84MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.098085Z | Gaze: (688, 291) | Conf: 1.000 | CPU: 56.2% | RAM: 13742.6MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.131665Z | Gaze: (696, 292) | Conf: 1.000 | CPU: 37.5% | RAM: 13741.67MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.165521Z | Gaze: (702, 293) | Conf: 1.000 | CPU: 68.8% | RAM: 13741.67MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.197652Z | Gaze: (708, 295) | Conf: 1.000 | CPU: 68.8% | RAM: 13741.67MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.231141Z | Gaze: (713, 296) | Conf: 1.000 | CPU: 36.0% | RAM: 13741.68MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.265749Z | Gaze: (718, 298) | Conf: 1.000 | CPU: 6.7% | RAM: 13741.68MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.310168Z | Gaze: (720, 298) | Conf: 1.000 | CPU: 58.8% | RAM: 13741.67MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.350917Z | Gaze: (721, 299) | Conf: 1.000 | CPU: 100.0% | RAM: 13741.68MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.382198Z | Gaze: (722, 300) | Conf: 1.000 | CPU: 100.0% | RAM: 13741.72MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.407568Z | Gaze: (724, 300) | Conf: 1.000 | CPU: 76.5% | RAM: 13741.64MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.432432Z | Gaze: (727, 299) | Conf: 1.000 | CPU: 57.1% | RAM: 13741.6MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.460923Z | Gaze: (728, 300) | Conf: 1.000 | CPU: 61.5% | RAM: 13741.51MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.494890Z | Gaze: (729, 300) | Conf: 1.000 | CPU: 56.2% | RAM: 13741.29MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.527270Z | Gaze: (731, 299) | Conf: 1.000 | CPU: 35.0% | RAM: 13741.29MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.558689Z | Gaze: (733, 299) | Conf: 1.000 | CPU: 23.5% | RAM: 13741.29MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.589650Z | Gaze: (735, 300) | Conf: 1.000 | CPU: 7.1% | RAM: 13741.32MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.619551Z | Gaze: (735, 299) | Conf: 1.000 | CPU: 57.1% | RAM: 13741.36MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.650538Z | Gaze: (736, 299) | Conf: 1.000 | CPU: 56.2% | RAM: 13741.39MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.679260Z | Gaze: (737, 297) | Conf: 1.000 | CPU: 76.5% | RAM: 13741.88MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.708465Z | Gaze: (737, 296) | Conf: 1.000 | CPU: 64.7% | RAM: 13741.81MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.740550Z | Gaze: (736, 294) | Conf: 1.000 | CPU: 12.5% | RAM: 13741.78MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.776381Z | Gaze: (735, 293) | Conf: 1.000 | CPU: 62.5% | RAM: 13740.7MB | Mem%: 85.8%
Time: 2025-11-28T17:41:51.807566Z | Gaze: (735, 293) | Conf: 1.000 | CPU: 22.7% | RAM: 13740.49MB | Mem%: 85.8%
Time: 2025-11-28T17:41:51.839014Z | Gaze: (735, 294) | Conf: 1.000 | CPU: 0.0% | RAM: 13740.32MB | Mem%: 85.8%
Time: 2025-11-28T17:41:51.872038Z | Gaze: (735, 295) | Conf: 1.000 | CPU: 28.0% | RAM: 13752.6MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.900768Z | Gaze: (736, 295) | Conf: 1.000 | CPU: 0.0% | RAM: 13751.52MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.929024Z | Gaze: (736, 295) | Conf: 1.000 | CPU: 75.0% | RAM: 13748.95MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.958536Z | Gaze: (738, 295) | Conf: 1.000 | CPU: 41.2% | RAM: 13746.86MB | Mem%: 85.9%
Time: 2025-11-28T17:41:51.989465Z | Gaze: (738, 296) | Conf: 1.000 | CPU: 44.4% | RAM: 13745.67MB | Mem%: 85.9%
Time: 2025-11-28T17:41:52.038043Z | Gaze: (737, 296) | Conf: 1.000 | CPU: 16.0% | RAM: 13745.19MB | Mem%: 85.9%
Time: 2025-11-28T17:41:52.078929Z | Gaze: (735, 297) | Conf: 1.000 | CPU: 36.0% | RAM: 13743.73MB | Mem%: 85.9%
Time: 2025-11-28T17:41:52.106539Z | Gaze: (735, 297) | Conf: 1.000 | CPU: 12.5% | RAM: 13742.93MB | Mem%: 85.9%
Time: 2025-11-28T17:41:52.131306Z | Gaze: (736, 296) | Conf: 1.000 | CPU: 100.0% | RAM: 13742.7MB | Mem%: 85.9%
Time: 2025-11-28T17:41:52.161012Z | Gaze: (737, 294) | Conf: 1.000 | CPU: 25.0% | RAM: 13742.55MB | Mem%: 85.9%
Time: 2025-11-28T17:41:52.189411Z | Gaze: (737, 295) | Conf: 1.000 | CPU: 6.2% | RAM: 13742.48MB | Mem%: 85.9%
