Gaze Tracking Log with System Metrics
==================================================
Session: 20251209_115325
Start Time: 2025-12-09T11:53:25.289012
==================================================

Time: 2025-12-09T11:53:25.775216Z | Gaze: (650, 349) | Conf: 1.000 | CPU: 12.0% | RAM: 11271.42MB | Mem%: 70.4%
Time: 2025-12-09T11:53:25.805309Z | Gaze: (661, 343) | Conf: 1.000 | CPU: 25.0% | RAM: 11281.49MB | Mem%: 70.5%
Time: 2025-12-09T11:53:25.827249Z | Gaze: (673, 339) | Conf: 0.977 | CPU: 18.8% | RAM: 11283.07MB | Mem%: 70.5%
Time: 2025-12-09T11:53:25.850159Z | Gaze: (685, 336) | Conf: 1.000 | CPU: 22.2% | RAM: 11283.48MB | Mem%: 70.5%
Time: 2025-12-09T11:53:25.872062Z | Gaze: (697, 333) | Conf: 1.000 | CPU: 25.0% | RAM: 11287.43MB | Mem%: 70.5%
Time: 2025-12-09T11:53:25.903372Z | Gaze: (707, 327) | Conf: 1.000 | CPU: 12.5% | RAM: 11286.65MB | Mem%: 70.5%
Time: 2025-12-09T11:53:25.935993Z | Gaze: (715, 321) | Conf: 1.000 | CPU: 6.2% | RAM: 11286.16MB | Mem%: 70.5%
Time: 2025-12-09T11:53:25.969030Z | Gaze: (719, 315) | Conf: 1.000 | CPU: 56.2% | RAM: 11286.26MB | Mem%: 70.5%
Time: 2025-12-09T11:53:26.016165Z | Gaze: (723, 311) | Conf: 1.000 | CPU: 45.8% | RAM: 11286.16MB | Mem%: 70.5%
Time: 2025-12-09T11:53:26.048795Z | Gaze: (725, 308) | Conf: 1.000 | CPU: 56.2% | RAM: 11285.84MB | Mem%: 70.5%
Time: 2025-12-09T11:53:26.080540Z | Gaze: (728, 309) | Conf: 1.000 | CPU: 6.2% | RAM: 11285.09MB | Mem%: 70.5%
Time: 2025-12-09T11:53:26.112402Z | Gaze: (733, 311) | Conf: 1.000 | CPU: 6.2% | RAM: 11286.32MB | Mem%: 70.5%
Time: 2025-12-09T11:53:26.145420Z | Gaze: (737, 317) | Conf: 1.000 | CPU: 52.9% | RAM: 11287.93MB | Mem%: 70.5%
