Gaze Tracking Log with System Metrics
==================================================
Session: 20251121_153046
Start Time: 2025-11-21T15:30:46.986339
==================================================

Time: 2025-11-21T15:30:47.641866Z | Gaze: (610, 415) | Conf: 0.733 | CPU: 5.6% | RAM: 7205.57MB | Mem%: 92.0%
Time: 2025-11-21T15:30:47.685092Z | Gaze: (612, 419) | Conf: 0.740 | CPU: 23.1% | RAM: 7215.05MB | Mem%: 92.1%
Time: 2025-11-21T15:30:47.712170Z | Gaze: (636, 386) | Conf: 0.783 | CPU: 12.5% | RAM: 7226.86MB | Mem%: 92.3%
Time: 2025-11-21T15:30:47.738163Z | Gaze: (678, 317) | Conf: 0.860 | CPU: 0.0% | RAM: 7225.59MB | Mem%: 92.3%
Time: 2025-11-21T15:30:47.760332Z | Gaze: (715, 233) | Conf: 0.840 | CPU: 0.0% | RAM: 7236.12MB | Mem%: 92.4%
Time: 2025-11-21T15:30:47.788412Z | Gaze: (732, 179) | Conf: 0.830 | CPU: 4.2% | RAM: 7232.61MB | Mem%: 92.4%
Time: 2025-11-21T15:30:47.817332Z | Gaze: (737, 156) | Conf: 0.821 | CPU: 0.0% | RAM: 7239.68MB | Mem%: 92.5%
Time: 2025-11-21T15:30:47.846277Z | Gaze: (747, 141) | Conf: 0.783 | CPU: 4.2% | RAM: 7236.34MB | Mem%: 92.4%
Time: 2025-11-21T15:30:47.877230Z | Gaze: (754, 129) | Conf: 0.812 | CPU: 0.0% | RAM: 7240.7MB | Mem%: 92.5%
Time: 2025-11-21T15:30:47.907298Z | Gaze: (754, 125) | Conf: 0.850 | CPU: 8.0% | RAM: 7246.12MB | Mem%: 92.5%
Time: 2025-11-21T15:30:47.928259Z | Gaze: (761, 127) | Conf: 0.830 | CPU: 15.4% | RAM: 7244.64MB | Mem%: 92.5%
Time: 2025-11-21T15:30:47.954403Z | Gaze: (777, 142) | Conf: 0.860 | CPU: 0.0% | RAM: 7242.54MB | Mem%: 92.5%
Time: 2025-11-21T15:30:47.980919Z | Gaze: (794, 149) | Conf: 0.890 | CPU: 5.9% | RAM: 7249.6MB | Mem%: 92.6%
