timestamp,gaze_x,gaze_y,confidence,cpu_percent,memory_used_mb,memory_percent
2025-12-09T18:04:10.959315Z,751,312,1.0,16.2,11684.31,73.0
2025-12-09T18:04:10.981917Z,801,282,1.0,12.5,11694.83,73.1
2025-12-09T18:04:11.001098Z,817,259,1.0,0.0,11690.55,73.0
2025-12-09T18:04:11.023388Z,821,243,1.0,100.0,11695.63,73.1
2025-12-09T18:04:11.041301Z,818,224,1.0,18.8,11690.48,73.0
2025-12-09T18:04:11.063796Z,826,219,1.0,12.5,11695.55,73.1
2025-12-09T18:04:11.099717Z,818,213,1.0,17.6,11691.83,73.0
2025-12-09T18:04:11.127848Z,804,219,1.0,6.2,11693.86,73.1
2025-12-09T18:04:11.159857Z,791,216,1.0,50.0,11691.04,73.0
2025-12-09T18:04:11.192701Z,791,215,1.0,50.0,11694.52,73.1
2025-12-09T18:04:11.215712Z,798,217,1.0,12.5,11691.11,73.0
2025-12-09T18:04:11.233528Z,801,227,1.0,100.0,11694.99,73.1
2025-12-09T18:04:11.261703Z,800,229,1.0,12.5,11693.66,73.1
2025-12-09T18:04:11.291560Z,814,226,1.0,43.8,11693.57,73.1
2025-12-09T18:04:11.337183Z,819,222,1.0,31.2,11692.85,73.1
2025-12-09T18:04:11.367856Z,822,221,1.0,6.2,11694.54,73.1
2025-12-09T18:04:11.399861Z,816,213,1.0,11.1,11692.32,73.0
2025-12-09T18:04:11.437146Z,822,208,1.0,9.1,11692.46,73.0
2025-12-09T18:04:11.496677Z,832,205,1.0,3.2,11688.28,73.0
2025-12-09T18:04:11.529002Z,823,214,1.0,17.6,11686.61,73.0
2025-12-09T18:04:11.561624Z,791,215,1.0,41.2,11683.29,73.0
2025-12-09T18:04:11.596547Z,750,213,1.0,6.2,11686.39,73.0
2025-12-09T18:04:11.621952Z,718,205,1.0,12.5,11687.2,73.0
2025-12-09T18:04:11.652925Z,698,207,1.0,6.2,11686.1,73.0
2025-12-09T18:04:11.684857Z,688,212,1.0,6.2,11687.43,73.0
2025-12-09T18:04:11.705059Z,675,215,1.0,0.0,11685.34,73.0
2025-12-09T18:04:11.738708Z,663,220,1.0,6.2,11686.78,73.0
2025-12-09T18:04:11.773699Z,649,222,1.0,18.8,11685.47,73.0
2025-12-09T18:04:11.798710Z,640,224,1.0,37.5,11682.84,73.0
2025-12-09T18:04:11.864974Z,636,227,1.0,21.9,11682.63,73.0
2025-12-09T18:04:11.897546Z,639,226,1.0,6.2,11681.3,73.0
2025-12-09T18:04:11.932375Z,650,227,1.0,23.5,11679.91,73.0
2025-12-09T18:04:11.960371Z,658,227,1.0,12.5,11683.79,73.0
2025-12-09T18:04:11.993291Z,677,235,1.0,50.0,11687.32,73.0
2025-12-09T18:04:12.012609Z,698,248,1.0,21.4,11686.3,73.0
2025-12-09T18:04:12.043492Z,720,259,1.0,37.5,11688.53,73.0
2025-12-09T18:04:12.061825Z,738,261,1.0,37.5,11683.91,73.0
2025-12-09T18:04:12.109177Z,747,261,1.0,8.3,11685.86,73.0
2025-12-09T18:04:12.138316Z,752,265,1.0,6.7,11690.41,73.0
2025-12-09T18:04:12.169012Z,750,272,1.0,20.0,11687.0,73.0
2025-12-09T18:04:12.198993Z,749,273,1.0,5.6,11687.3,73.0
2025-12-09T18:04:12.235177Z,740,275,1.0,5.9,11688.13,73.0
2025-12-09T18:04:12.296523Z,718,269,1.0,9.4,11690.43,73.0
2025-12-09T18:04:12.328950Z,692,265,1.0,37.5,11685.55,73.0
2025-12-09T18:04:12.359650Z,674,261,1.0,6.2,11689.37,73.0
2025-12-09T18:04:12.379881Z,667,263,1.0,0.0,11686.55,73.0
2025-12-09T18:04:12.416619Z,669,256,1.0,24.0,11691.02,73.0
2025-12-09T18:04:12.435893Z,682,249,1.0,12.5,11684.71,73.0
2025-12-09T18:04:12.456716Z,703,233,1.0,0.0,11689.86,73.0
2025-12-09T18:04:12.503090Z,737,234,1.0,37.5,11685.44,73.0
2025-12-09T18:04:12.536624Z,761,228,1.0,18.8,11688.8,73.0
2025-12-09T18:04:12.568992Z,780,235,1.0,25.0,11686.24,73.0
2025-12-09T18:04:12.601684Z,780,235,1.0,25.0,11688.06,73.0
2025-12-09T18:04:12.631513Z,778,240,1.0,6.2,11683.86,73.0
2025-12-09T18:04:12.696376Z,779,246,1.0,6.1,11687.95,73.0
2025-12-09T18:04:12.729930Z,778,254,1.0,10.0,11683.84,73.0
2025-12-09T18:04:12.763839Z,774,265,1.0,15.8,11687.35,73.0
2025-12-09T18:04:12.789456Z,765,273,1.0,50.0,11686.85,73.0
2025-12-09T18:04:12.819713Z,764,283,1.0,29.4,11687.51,73.0
2025-12-09T18:04:12.839487Z,770,284,1.0,21.4,11686.1,73.0
2025-12-09T18:04:12.866195Z,773,279,1.0,0.0,11687.59,73.0
2025-12-09T18:04:12.903895Z,778,277,1.0,8.3,11685.46,73.0
2025-12-09T18:04:12.938334Z,782,271,1.0,52.9,11685.97,73.0
2025-12-09T18:04:12.969713Z,788,271,1.0,50.0,11685.42,73.0
2025-12-09T18:04:13.001204Z,785,271,1.0,0.0,11685.21,73.0
2025-12-09T18:04:13.031972Z,784,275,1.0,18.8,11683.27,73.0
2025-12-09T18:04:13.098655Z,784,276,1.0,27.3,11681.89,73.0
2025-12-09T18:04:13.128544Z,787,269,1.0,6.2,11681.33,73.0
2025-12-09T18:04:13.160507Z,782,265,1.0,50.0,11680.13,73.0
2025-12-09T18:04:13.181437Z,777,264,1.0,12.5,11679.15,73.0
2025-12-09T18:04:13.202327Z,773,266,1.0,12.5,11678.28,73.0
2025-12-09T18:04:13.223910Z,777,263,1.0,0.0,11677.17,73.0
2025-12-09T18:04:13.260858Z,789,263,1.0,12.5,11675.7,72.9
2025-12-09T18:04:13.305247Z,800,255,1.0,37.5,11675.12,72.9
2025-12-09T18:04:13.335166Z,799,255,1.0,12.5,11682.82,73.0
2025-12-09T18:04:13.366152Z,798,250,1.0,25.0,11687.13,73.0
2025-12-09T18:04:13.402017Z,799,251,1.0,8.3,11687.93,73.0
2025-12-09T18:04:13.436608Z,803,250,1.0,18.8,11684.55,73.0
2025-12-09T18:04:13.497112Z,803,254,1.0,3.1,11690.67,73.0
2025-12-09T18:04:13.527596Z,797,256,1.0,18.8,11685.65,73.0
2025-12-09T18:04:13.561497Z,795,255,1.0,43.8,11690.07,73.0
2025-12-09T18:04:13.582371Z,792,250,1.0,0.0,11684.65,73.0
2025-12-09T18:04:13.601626Z,795,247,1.0,12.5,11686.09,73.0
